date,radiation type,"קרינה שעתית 05-06 (וואט/מ""ר)","קרינה שעתית 06-07 (וואט/מ""ר)","קרינה שעתית 07-08 (וואט/מ""ר)","קרינה שעתית 08-09 (וואט/מ""ר)","קרינה שעתית 09-10 (וואט/מ""ר)","קרינה שעתית 10-11 (וואט/מ""ר)","קרינה שעתית 11-12 (וואט/מ""ר)","קרינה שעתית 12-13 (וואט/מ""ר)","קרינה שעתית 13-14 (וואט/מ""ר)","קרינה שעתית 14-15 (וואט/מ""ר)","קרינה שעתית 15-16 (וואט/מ""ר)","קרינה שעתית 16-17 (וואט/מ""ר)","קרינה שעתית 17-18 (וואט/מ""ר)","קרינה שעתית 18-19 (וואט/מ""ר)"
01/01/2017,גלובלית,0,3,56,245,406,510,583,587,247,178,26,15,0,0
02/01/2017,גלובלית,0,4,48,250,394,437,355,143,181,117,44,10,0,0
03/01/2017,גלובלית,0,4,36,189,411,486,540,470,458,351,128,13,0,0
04/01/2017,גלובלית,0,2,21,33,78,258,639,560,393,269,83,15,0,0
05/01/2017,גלובלית,0,4,62,225,388,457,477,353,353,278,101,17,0,0
06/01/2017,גלובלית,0,3,61,261,418,526,573,555,475,340,121,13,0,0
07/01/2017,גלובלית,0,3,47,217,282,436,479,456,433,341,126,17,0,0
08/01/2017,גלובלית,0,2,15,58,232,408,348,329,265,197,65,11,0,0
09/01/2017,גלובלית,0,3,27,109,145,72,54,43,54,81,64,19,0,0
10/01/2017,גלובלית,0,4,65,262,424,540,585,519,301,178,111,23,0,0
11/01/2017,גלובלית,0,4,67,242,398,517,556,536,457,328,136,17,0,0
12/01/2017,גלובלית,0,3,68,224,337,457,457,561,475,337,149,26,0,0
13/01/2017,גלובלית,0,4,97,295,421,317,536,425,261,228,106,24,0,0
14/01/2017,גלובלית,0,2,30,88,128,105,103,136,108,44,44,15,0,0
15/01/2017,גלובלית,0,3,52,127,319,499,511,506,484,358,188,33,0,0
16/01/2017,גלובלית,0,4,67,232,418,512,591,582,505,356,149,30,0,0
17/01/2017,גלובלית,0,3,63,214,384,501,585,565,481,338,161,21,0,0
18/01/2017,גלובלית,0,3,68,244,405,526,501,358,438,337,113,21,0,0
19/01/2017,גלובלית,0,4,62,232,398,398,243,491,457,354,188,38,0,0
20/01/2017,גלובלית,0,4,64,259,418,480,364,348,402,370,150,22,0,0
21/01/2017,גלובלית,0,3,48,133,285,410,621,412,511,162,189,26,0,0
22/01/2017,גלובלית,0,4,71,271,436,542,604,574,489,387,148,29,0,0
23/01/2017,גלובלית,0,4,75,273,443,562,625,612,532,398,207,19,0,0
24/01/2017,גלובלית,0,5,83,233,410,534,568,536,515,377,185,23,0,0
25/01/2017,גלובלית,0,2,38,128,249,414,309,133,209,189,117,30,0,0
26/01/2017,גלובלית,0,4,82,281,315,104,259,376,411,170,104,34,1,0
27/01/2017,גלובלית,0,4,39,152,226,207,208,176,104,100,20,17,2,0
28/01/2017,גלובלית,0,2,12,86,203,231,405,298,212,143,68,35,0,0
29/01/2017,גלובלית,0,5,90,307,470,598,668,677,411,366,256,44,1,0
30/01/2017,גלובלית,0,5,91,302,467,589,626,452,198,383,176,41,1,0
31/01/2017,גלובלית,0,7,44,89,170,317,316,350,394,167,47,48,1,0
01/02/2017,גלובלית,0,8,83,134,171,265,336,398,360,307,130,44,1,0
02/02/2017,גלובלית,0,6,107,313,483,605,671,672,495,358,255,47,1,0
03/02/2017,גלובלית,0,7,110,317,487,621,677,671,599,455,272,49,1,0
04/02/2017,גלובלית,0,6,118,329,459,339,398,432,362,233,159,53,1,0
05/02/2017,גלובלית,0,6,113,322,489,613,671,660,591,453,269,55,1,0
06/02/2017,גלובלית,0,7,97,318,479,591,589,527,512,455,270,58,2,0
07/02/2017,גלובלית,0,7,121,341,511,635,694,686,603,463,283,67,2,0
08/02/2017,גלובלית,0,15,130,172,213,164,196,539,560,430,255,71,3,0
09/02/2017,גלובלית,0,10,116,296,308,439,252,229,459,471,272,66,2,0
10/02/2017,גלובלית,0,10,117,316,492,612,670,667,585,439,245,71,3,0
11/02/2017,גלובלית,0,17,96,296,465,592,649,632,571,435,253,70,2,0
12/02/2017,גלובלית,0,3,75,225,382,294,316,586,356,204,139,66,3,0
13/02/2017,גלובלית,1,1,111,237,251,456,383,505,431,347,295,90,3,0
14/02/2017,גלובלית,0,13,110,129,229,166,337,181,403,136,150,81,6,0
15/02/2017,גלובלית,0,12,96,277,401,437,731,570,377,171,64,72,7,0
16/02/2017,גלובלית,0,9,36,83,174,100,171,140,477,492,323,104,5,0
17/02/2017,גלובלית,0,13,46,278,461,522,508,414,625,424,297,78,4,0
18/02/2017,גלובלית,0,12,169,385,567,698,759,748,664,512,330,104,3,0
19/02/2017,גלובלית,0,13,174,394,574,706,770,762,679,533,342,109,3,0
20/02/2017,גלובלית,0,16,181,401,585,710,773,759,673,525,333,111,5,0
21/02/2017,גלובלית,0,16,166,371,544,681,747,734,660,424,309,111,5,0
22/02/2017,גלובלית,0,20,167,370,453,512,290,182,149,207,167,84,8,0
23/02/2017,גלובלית,0,22,167,360,483,519,740,734,650,420,241,112,7,0
24/02/2017,גלובלית,0,23,155,383,551,681,738,724,641,496,313,113,7,0
25/02/2017,גלובלית,0,25,189,391,571,703,767,746,653,503,320,116,8,0
26/02/2017,גלובלית,0,27,193,398,579,710,766,749,653,500,313,116,8,0
27/02/2017,גלובלית,0,18,188,334,605,665,702,762,504,553,281,122,8,0
28/02/2017,גלובלית,0,21,67,97,106,92,122,306,248,147,107,47,8,0
01/03/2017,גלובלית,0,18,86,73,147,365,191,299,303,273,212,98,9,0
02/03/2017,גלובלית,0,34,190,360,497,562,611,425,287,264,150,77,11,0
03/03/2017,גלובלית,0,27,125,335,384,311,804,486,364,135,105,109,15,0
04/03/2017,גלובלית,0,24,186,262,419,770,731,704,708,542,379,162,10,0
05/03/2017,גלובלית,0,36,228,453,635,761,815,808,726,574,378,164,11,0
06/03/2017,גלובלית,0,41,246,456,636,765,827,811,722,572,368,160,12,0
07/03/2017,גלובלית,0,44,243,439,606,714,414,589,646,411,281,85,14,0
08/03/2017,גלובלית,0,50,260,483,648,765,675,813,713,575,384,158,12,0
09/03/2017,גלובלית,1,58,205,384,606,763,827,815,731,582,389,170,6,0
10/03/2017,גלובלית,1,53,231,457,503,346,133,415,625,527,342,134,10,0
11/03/2017,גלובלית,1,49,262,336,332,368,389,468,656,507,324,172,19,0
12/03/2017,גלובלית,1,62,257,435,438,534,316,122,195,227,78,104,24,0
13/03/2017,גלובלית,2,50,157,386,530,398,441,482,400,533,251,105,20,0
14/03/2017,גלובלית,2,21,114,399,664,327,564,692,644,528,321,178,25,0
15/03/2017,גלובלית,2,88,234,378,555,681,591,609,308,22,47,35,9,0
16/03/2017,גלובלית,2,69,277,324,422,502,651,678,518,416,188,139,28,0
17/03/2017,גלובלית,2,68,243,324,246,315,402,340,464,429,130,39,6,0
18/03/2017,גלובלית,1,22,94,121,200,427,529,386,642,235,110,54,11,0
19/03/2017,גלובלית,3,74,250,362,432,531,506,545,438,582,453,205,28,0
20/03/2017,גלובלית,4,46,257,279,268,344,685,623,588,375,186,58,22,0
21/03/2017,גלובלית,4,79,221,303,367,420,479,541,631,529,414,199,11,0
22/03/2017,גלובלית,3,62,194,249,205,257,607,738,492,401,165,69,45,0
23/03/2017,גלובלית,2,43,217,460,571,717,759,776,699,567,374,130,24,0
24/03/2017,גלובלית,5,108,299,539,629,649,913,881,659,643,440,206,33,0
25/03/2017,גלובלית,6,101,231,504,712,837,897,886,794,639,429,209,30,0
26/03/2017,גלובלית,6,107,310,549,732,570,717,896,804,655,449,221,35,0
27/03/2017,גלובלית,5,90,316,417,426,500,596,699,772,541,317,183,46,0
28/03/2017,גלובלית,3,53,221,435,589,934,870,874,801,461,165,111,42,0
29/03/2017,גלובלית,9,128,340,484,602,837,905,875,781,628,429,213,34,0
30/03/2017,גלובלית,1,26,90,222,228,169,270,552,593,329,309,206,43,0
31/03/2017,גלובלית,21,143,143,538,745,859,921,908,804,624,434,207,43,0
01/04/2017,גלובלית,8,157,207,464,692,697,578,550,388,317,206,147,48,0
02/04/2017,גלובלית,4,35,276,499,659,310,854,550,449,440,352,189,34,0
03/04/2017,גלובלית,8,164,414,552,664,762,821,677,777,563,410,167,33,0
04/04/2017,גלובלית,17,156,379,596,784,907,953,930,819,663,462,226,45,0
05/04/2017,גלובלית,17,174,401,617,794,907,942,898,797,629,411,196,42,0
06/04/2017,גלובלית,20,175,390,602,788,905,945,906,829,690,468,216,41,0
07/04/2017,גלובלית,21,158,161,437,699,867,694,600,508,349,305,157,50,0
08/04/2017,גלובלית,22,173,382,558,547,611,727,844,690,449,351,162,36,0
09/04/2017,גלובלית,23,195,198,251,425,513,555,420,342,296,245,131,30,0
10/04/2017,גלובלית,24,194,397,536,703,836,634,840,819,673,472,223,45,0
11/04/2017,גלובלית,12,166,364,599,698,713,919,874,780,575,292,145,48,0
12/04/2017,גלובלית,24,104,139,141,129,378,448,294,364,66,68,29,7,0
13/04/2017,גלובלית,11,70,174,256,421,695,814,815,696,527,171,92,28,0
14/04/2017,גלובלית,9,78,297,375,453,433,318,218,160,403,203,98,31,1
15/04/2017,גלובלית,38,186,304,301,834,938,942,942,581,233,156,181,45,1
16/04/2017,גלובלית,32,173,333,461,556,947,984,976,872,671,452,127,56,1
17/04/2017,גלובלית,30,201,434,648,804,903,909,885,878,718,510,282,52,0
18/04/2017,גלובלית,23,198,413,621,793,917,1001,963,868,711,501,275,57,1
19/04/2017,גלובלית,48,209,436,640,789,948,1026,1002,901,735,517,289,68,1
20/04/2017,גלובלית,47,214,438,654,827,939,982,950,848,680,462,246,62,1
21/04/2017,גלובלית,39,190,395,603,776,893,935,906,804,637,435,229,61,1
22/04/2017,גלובלית,47,220,437,638,792,904,943,904,804,635,436,225,59,1
23/04/2017,גלובלית,23,137,179,322,394,460,709,892,862,701,461,293,66,2
24/04/2017,גלובלית,26,142,294,406,474,909,1002,948,654,663,378,184,63,2
25/04/2017,גלובלית,65,245,472,687,856,974,1015,996,902,747,536,305,70,2
26/04/2017,גלובלית,36,182,362,534,682,822,876,740,720,579,400,204,50,2
27/04/2017,גלובלית,46,198,401,605,781,899,969,920,822,661,461,235,64,2
28/04/2017,גלובלית,53,230,456,663,838,963,1016,996,897,736,529,295,74,1
29/04/2017,גלובלית,57,237,455,651,806,927,987,952,854,703,502,277,69,2
30/04/2017,גלובלית,48,259,480,474,595,855,959,689,733,556,358,237,55,2
01/05/2017,גלובלית,60,194,433,600,611,436,476,711,747,460,405,277,74,2
02/05/2017,גלובלית,52,245,355,654,845,953,996,975,865,640,500,272,66,3
03/05/2017,גלובלית,62,231,456,714,868,1000,1028,1002,888,714,517,295,81,3
04/05/2017,גלובלית,59,243,445,683,850,963,1012,984,886,722,489,211,65,3
05/05/2017,גלובלית,63,244,472,723,665,709,1010,712,678,664,506,285,80,3
06/05/2017,גלובלית,35,121,265,501,658,917,800,808,780,708,537,260,87,5
07/05/2017,גלובלית,69,261,488,683,855,978,1025,1002,908,751,551,309,71,4
08/05/2017,גלובלית,77,264,476,679,843,933,974,950,875,717,514,296,87,4
09/05/2017,גלובלית,75,267,488,693,851,957,996,965,853,697,499,291,86,4
10/05/2017,גלובלית,74,264,486,692,849,962,1012,993,902,739,510,289,90,4
11/05/2017,גלובלית,85,247,478,699,872,996,1051,1031,925,757,544,305,92,4
12/05/2017,גלובלית,53,162,280,646,866,972,1020,993,900,745,550,296,87,10
13/05/2017,גלובלית,102,297,511,713,856,958,1000,974,885,741,535,302,93,5
14/05/2017,גלובלית,74,237,434,633,789,912,964,937,840,690,499,279,96,6
15/05/2017,גלובלית,85,281,515,714,881,998,1045,1018,933,782,577,350,113,7
16/05/2017,גלובלית,83,292,511,701,850,914,1035,1017,920,754,551,327,113,7
17/05/2017,גלובלית,98,286,502,696,861,964,999,973,888,738,502,240,76,12
18/05/2017,גלובלית,65,281,475,678,795,914,1003,945,771,683,340,311,90,5
19/05/2017,גלובלית,77,259,275,359,292,398,640,852,890,750,557,276,62,7
20/05/2017,גלובלית,90,139,364,490,650,918,766,793,682,281,259,162,92,12
21/05/2017,גלובלית,71,293,534,559,647,901,1026,1030,940,602,547,332,118,8
22/05/2017,גלובלית,109,296,508,706,856,964,1014,988,883,734,537,303,97,6
23/05/2017,גלובלית,64,224,508,718,855,614,789,757,699,517,306,161,68,12
24/05/2017,גלובלית,83,300,447,735,895,1009,1071,1032,939,781,580,370,161,10
25/05/2017,גלובלית,100,284,519,706,848,905,993,864,694,645,563,311,105,10
26/05/2017,גלובלית,73,266,510,732,902,1022,1059,1030,945,789,583,346,126,9
27/05/2017,גלובלית,110,301,518,718,872,967,1000,970,886,736,542,318,114,9
28/05/2017,גלובלית,104,316,537,731,914,1035,1078,1039,943,776,575,341,126,10
29/05/2017,גלובלית,104,300,514,710,861,963,1007,983,889,745,554,347,126,13
30/05/2017,גלובלית,114,302,503,702,849,962,1012,982,896,753,568,362,156,16
31/05/2017,גלובלית,106,314,529,734,897,1008,1051,1023,927,782,593,388,179,15
01/06/2017,גלובלית,112,314,598,768,855,1050,921,772,759,708,368,239,91,11
02/06/2017,גלובלית,116,312,525,722,891,1002,1049,1028,936,786,592,374,166,11
03/06/2017,גלובלית,97,291,507,704,862,960,1009,1001,908,760,575,380,116,14
04/06/2017,גלובלית,111,300,503,693,847,976,1023,996,905,766,573,379,176,15
05/06/2017,גלובלית,109,306,520,732,891,1002,1043,1011,919,768,576,364,153,16
06/06/2017,גלובלית,97,304,527,723,876,1014,1061,1032,941,785,590,369,156,15
07/06/2017,גלובלית,119,312,523,722,888,995,1044,1015,922,774,580,358,145,16
08/06/2017,גלובלית,115,307,518,707,867,969,1019,998,913,766,577,352,152,17
09/06/2017,גלובלית,106,304,485,644,850,955,1004,990,895,756,565,348,150,18
10/06/2017,גלובלית,112,271,574,748,915,1036,1105,979,964,816,553,341,84,15
11/06/2017,גלובלית,86,187,425,729,901,1022,1072,1050,960,811,618,398,194,20
12/06/2017,גלובלית,102,303,521,728,893,1002,1054,1034,932,735,596,351,164,21
13/06/2017,גלובלית,103,192,494,674,885,986,1035,1008,911,765,578,371,158,19
14/06/2017,גלובלית,49,190,251,527,784,944,988,970,898,761,444,264,98,21
15/06/2017,גלובלית,102,269,283,394,867,987,1016,992,896,754,541,323,167,21
16/06/2017,גלובלית,103,304,524,722,884,991,1048,1021,924,774,584,366,162,20
17/06/2017,גלובלית,104,305,515,713,876,987,1038,1017,929,795,605,381,115,16
18/06/2017,גלובלית,122,330,515,702,879,993,1040,1013,929,783,580,358,165,20
19/06/2017,גלובלית,110,302,503,691,867,986,1035,995,903,755,560,340,152,23
20/06/2017,גלובלית,133,332,468,693,833,881,864,895,927,794,593,381,125,23
21/06/2017,גלובלית,125,209,264,327,717,755,722,678,729,610,533,277,165,29
22/06/2017,גלובלית,50,287,551,744,893,991,1035,1015,936,798,619,409,202,30
23/06/2017,גלובלית,114,327,547,744,891,995,1036,1019,942,811,603,317,208,32
24/06/2017,גלובלית,122,328,539,729,880,985,1024,1007,926,791,624,415,206,31
25/06/2017,גלובלית,130,336,544,727,890,997,1039,1020,945,810,631,422,210,32
26/06/2017,גלובלית,122,325,535,721,866,967,1023,1010,933,798,618,403,188,31
27/06/2017,גלובלית,115,314,521,711,868,973,1015,999,925,788,611,398,187,32
28/06/2017,גלובלית,118,322,533,725,888,997,1051,1037,962,824,638,417,204,34
29/06/2017,גלובלית,153,289,541,745,901,1001,1050,1034,956,811,624,411,197,32
30/06/2017,גלובלית,108,308,519,711,874,976,1028,1017,927,798,613,397,190,34
01/07/2017,גלובלית,112,309,513,703,865,972,1017,1005,931,800,623,404,198,32
02/07/2017,גלובלית,38,243,488,663,810,924,986,969,899,771,590,373,184,30
03/07/2017,גלובלית,96,284,485,675,833,940,985,979,907,775,604,406,196,32
04/07/2017,גלובלית,100,299,506,695,856,964,1010,992,919,787,611,400,201,34
05/07/2017,גלובלית,92,285,500,691,850,957,999,979,902,764,587,374,165,25
06/07/2017,גלובלית,62,232,433,687,844,947,904,769,657,543,334,246,123,24
07/07/2017,גלובלית,84,241,436,452,853,971,1014,998,920,794,501,217,106,21
08/07/2017,גלובלית,96,308,528,722,882,988,1041,1026,947,819,627,348,121,22
09/07/2017,גלובלית,77,312,527,714,872,974,1025,1009,930,799,628,396,186,27
10/07/2017,גלובלית,100,295,499,685,836,945,999,983,907,778,600,392,174,29
11/07/2017,גלובלית,78,261,386,578,751,896,965,950,869,555,501,260,135,23
12/07/2017,גלובלית,62,213,413,618,784,896,949,941,867,736,561,348,154,27
13/07/2017,גלובלית,61,220,482,662,823,943,1000,984,912,793,623,409,194,28
14/07/2017,גלובלית,101,296,506,695,866,972,1025,1012,941,809,632,420,193,25
15/07/2017,גלובלית,115,312,510,698,851,967,1028,1021,946,813,633,416,190,25
16/07/2017,גלובלית,101,299,506,694,847,955,1013,1027,948,811,618,402,179,23
17/07/2017,גלובלית,72,256,456,667,822,920,963,946,876,744,572,367,156,21
18/07/2017,גלובלית,79,280,425,653,841,968,1031,1025,942,806,627,413,185,21
19/07/2017,גלובלית,93,292,510,707,864,967,1010,993,917,786,593,392,181,26
20/07/2017,גלובלית,75,244,417,615,778,902,956,945,875,745,563,352,152,21
21/07/2017,גלובלית,49,161,334,640,800,909,954,939,862,734,561,351,135,21
22/07/2017,גלובלית,67,258,284,378,753,872,978,910,802,772,583,375,162,24
23/07/2017,גלובלית,51,205,451,669,831,939,985,977,865,743,544,385,134,17
24/07/2017,גלובלית,66,244,457,665,820,929,976,962,860,726,574,310,137,17
25/07/2017,גלובלית,73,262,463,654,820,934,992,978,900,763,578,370,149,16
26/07/2017,גלובלית,72,256,466,657,812,918,967,952,873,743,562,346,136,15
27/07/2017,גלובלית,67,246,451,645,804,911,956,941,871,734,557,341,130,15
28/07/2017,גלובלית,62,224,501,680,832,941,942,886,827,623,561,318,126,14
29/07/2017,גלובלית,55,272,393,628,806,981,1018,1005,931,782,594,363,119,13
30/07/2017,גלובלית,72,277,499,697,856,969,1018,995,890,725,522,254,112,14
31/07/2017,גלובלית,65,306,475,686,843,953,1003,985,908,772,592,379,145,14
01/08/2017,גלובלית,67,267,485,677,851,962,1006,989,911,776,598,382,144,10
02/08/2017,גלובלית,79,283,510,702,861,972,1022,1011,936,803,613,364,78,9
03/08/2017,גלובלית,54,239,366,556,862,985,1045,1029,909,659,496,264,106,9
04/08/2017,גלובלית,60,223,403,726,785,939,1006,984,920,778,595,376,116,11
05/08/2017,גלובלית,61,287,475,671,822,961,1012,1011,932,761,402,255,102,9
06/08/2017,גלובלית,47,234,412,660,637,909,965,947,870,738,557,341,119,8
07/08/2017,גלובלית,35,266,329,605,828,884,979,959,880,744,548,345,131,10
08/08/2017,גלובלית,32,141,366,421,478,649,587,722,671,634,539,333,107,9
09/08/2017,גלובלית,45,232,372,643,803,903,958,944,863,717,538,334,104,8
10/08/2017,גלובלית,44,105,349,444,689,780,806,970,892,754,574,359,112,7
11/08/2017,גלובלית,38,209,320,514,838,920,1004,988,906,765,532,251,86,8
12/08/2017,גלובלית,47,252,392,611,833,926,980,957,882,687,527,302,90,6
13/08/2017,גלובלית,40,128,357,665,827,943,979,957,872,731,547,331,97,5
14/08/2017,גלובלית,45,241,385,508,781,918,963,947,871,733,550,296,75,5
15/08/2017,גלובלית,38,228,460,657,813,922,967,949,870,725,407,265,69,5
16/08/2017,גלובלית,40,220,368,657,837,932,970,946,862,724,532,239,68,5
17/08/2017,גלובלית,54,238,317,531,662,908,964,941,641,464,346,285,88,5
18/08/2017,גלובלית,28,210,366,611,722,885,941,964,884,759,494,239,52,4
19/08/2017,גלובלית,41,117,425,643,797,898,957,938,855,715,524,305,84,4
20/08/2017,גלובלית,38,197,395,581,745,853,904,887,806,666,486,282,82,4
21/08/2017,גלובלית,24,185,365,643,804,855,801,852,567,624,325,169,58,3
22/08/2017,גלובלית,34,203,367,580,701,883,933,907,868,641,481,213,53,2
23/08/2017,גלובלית,35,192,422,594,819,857,945,889,797,689,400,203,61,2
24/08/2017,גלובלית,36,208,362,554,578,726,824,918,851,705,522,302,69,2
25/08/2017,גלובלית,27,198,294,411,781,884,931,914,832,696,509,279,70,3
26/08/2017,גלובלית,39,221,431,640,807,918,969,946,862,719,525,299,63,2
27/08/2017,גלובלית,44,229,452,648,809,929,980,955,868,723,529,299,59,2
28/08/2017,גלובלית,36,203,227,580,804,939,1014,957,870,696,451,284,52,1
29/08/2017,גלובלית,19,203,447,648,807,921,972,954,862,716,519,291,54,1
30/08/2017,גלובלית,26,139,351,626,817,915,964,944,854,706,514,287,51,1
31/08/2017,גלובלית,31,175,314,368,550,758,955,1029,754,562,364,304,48,1
01/09/2017,גלובלית,18,188,312,605,674,892,898,847,554,490,354,121,33,1
02/09/2017,גלובלית,17,195,345,593,765,897,924,918,834,663,398,231,48,1
03/09/2017,גלובלית,27,182,390,589,752,861,904,877,788,642,446,234,46,1
04/09/2017,גלובלית,20,160,326,564,730,864,862,723,528,480,383,184,43,0
05/09/2017,גלובלית,25,187,396,601,766,880,925,900,810,667,472,245,45,0
06/09/2017,גלובלית,17,126,384,636,799,918,967,937,836,694,490,263,42,0
07/09/2017,גלובלית,16,202,407,561,788,904,946,921,830,681,481,237,35,0
08/09/2017,גלובלית,25,177,411,611,767,872,912,882,789,640,442,221,41,0
09/09/2017,גלובלית,20,150,375,586,737,838,878,856,735,615,435,219,38,0
10/09/2017,גלובלית,14,101,383,586,745,865,913,884,791,644,451,232,38,0
11/09/2017,גלובלית,19,174,387,601,767,872,915,890,798,648,454,236,35,0
12/09/2017,גלובלית,16,183,406,603,752,868,908,883,792,640,444,225,30,0
13/09/2017,גלובלית,16,171,388,587,746,847,897,864,764,610,415,199,28,0
14/09/2017,גלובלית,14,131,349,533,691,805,828,821,682,492,300,107,23,0
15/09/2017,גלובלית,12,111,280,475,726,612,645,850,767,603,401,102,19,0
16/09/2017,גלובלית,13,127,371,576,713,836,794,696,703,437,247,168,23,0
17/09/2017,גלובלית,15,159,373,554,756,840,883,863,766,605,404,180,19,0
18/09/2017,גלובלית,12,158,305,556,725,759,874,838,742,591,395,181,19,0
19/09/2017,גלובלית,11,144,321,559,671,826,870,839,725,575,377,163,16,0
20/09/2017,גלובלית,7,79,306,366,614,830,873,836,737,542,272,134,15,0
21/09/2017,גלובלית,10,88,182,344,695,797,812,738,608,465,239,108,13,0
22/09/2017,גלובלית,12,149,268,330,412,443,621,775,624,507,354,150,15,0
23/09/2017,גלובלית,12,143,315,350,598,721,640,756,724,570,373,160,13,0
24/09/2017,גלובלית,8,65,234,533,694,802,841,777,610,462,269,120,10,0
25/09/2017,גלובלית,9,137,378,412,654,694,816,730,604,533,358,132,6,0
26/09/2017,גלובלית,7,113,349,419,707,797,745,541,520,340,200,101,9,0
27/09/2017,גלובלית,9,148,311,579,583,708,756,830,574,576,373,155,7,0
28/09/2017,גלובלית,8,131,357,523,733,770,771,852,709,546,374,156,6,0
29/09/2017,גלובלית,7,139,368,559,714,787,879,707,501,458,313,94,7,0
30/09/2017,גלובלית,9,142,374,659,677,835,636,742,667,475,331,120,6,0
01/10/2017,גלובלית,9,134,342,570,724,806,840,801,695,536,332,118,5,0
02/10/2017,גלובלית,6,115,328,523,674,775,796,758,667,515,317,111,5,0
03/10/2017,גלובלית,7,110,369,525,698,797,839,794,692,495,266,74,4,0
04/10/2017,גלובלית,4,54,254,576,691,843,792,750,685,420,171,44,4,0
05/10/2017,גלובלית,6,117,325,361,370,700,769,617,394,284,191,94,6,0
06/10/2017,גלובלית,5,115,343,539,693,779,817,778,677,525,274,94,4,0
07/10/2017,גלובלית,6,113,329,525,678,762,795,751,649,489,292,91,2,0
08/10/2017,גלובלית,4,85,278,490,645,688,573,431,314,285,178,98,3,0
09/10/2017,גלובלית,8,27,78,225,196,550,352,457,549,254,178,36,4,0
10/10/2017,גלובלית,5,78,224,587,515,791,757,600,549,464,278,76,2,0
11/10/2017,גלובלית,3,104,334,367,556,391,503,726,605,473,305,82,1,0
12/10/2017,גלובלית,3,106,333,546,690,616,766,762,588,502,279,76,1,0
13/10/2017,גלובלית,5,98,319,519,598,786,811,552,465,472,184,77,1,0
14/10/2017,גלובלית,4,88,318,497,663,761,788,751,582,452,273,63,1,0
15/10/2017,גלובלית,3,86,319,449,651,750,767,752,644,481,271,58,1,0
16/10/2017,גלובלית,2,87,306,499,651,779,757,688,567,170,284,52,1,0
17/10/2017,גלובלית,2,82,277,467,619,713,740,704,604,446,252,47,1,0
18/10/2017,גלובלית,2,83,292,485,635,728,752,709,603,442,243,43,0,0
19/10/2017,גלובלית,2,74,276,470,616,705,725,683,577,411,218,44,0,0
20/10/2017,גלובלית,2,67,239,481,499,501,711,637,485,290,169,40,0,0
21/10/2017,גלובלית,2,63,231,394,518,714,729,695,571,385,168,37,0,0
22/10/2017,גלובלית,2,61,267,477,540,739,684,700,616,400,213,34,0,0
23/10/2017,גלובלית,1,67,285,474,627,717,585,521,584,415,207,41,1,0
24/10/2017,גלובלית,2,69,267,423,419,609,650,510,551,441,242,27,0,0
25/10/2017,גלובלית,1,58,268,460,610,703,742,700,596,435,235,24,0,0
26/10/2017,גלובלית,1,53,275,467,616,705,722,672,562,403,218,22,0,0
27/10/2017,גלובלית,1,48,245,435,585,669,689,651,516,368,185,26,0,0
28/10/2017,גלובלית,1,24,48,188,42,409,298,339,244,221,132,23,0,0
29/10/2017,גלובלית,1,28,71,458,586,622,565,554,513,393,137,21,0,0
30/10/2017,גלובלית,1,56,170,309,486,553,554,352,283,328,162,26,0,0
31/10/2017,גלובלית,1,40,270,450,192,451,357,364,299,192,131,29,0,0
01/11/2017,גלובלית,1,36,251,371,425,589,594,582,493,375,162,22,0,0
02/11/2017,גלובלית,0,25,176,251,299,567,432,702,551,370,189,15,0,0
03/11/2017,גלובלית,0,36,251,396,515,360,307,665,548,327,185,14,0,0
04/11/2017,גלובלית,0,29,234,275,456,464,329,263,541,358,181,23,0,0
05/11/2017,גלובלית,0,37,215,395,527,590,321,201,269,331,162,17,0,0
06/11/2017,גלובלית,0,35,174,159,351,619,701,616,468,374,175,13,0,0
07/11/2017,גלובלית,0,34,217,402,546,633,658,597,519,361,153,19,0,0
08/11/2017,גלובלית,1,32,178,318,470,456,380,316,449,248,138,18,0,0
09/11/2017,גלובלית,0,25,77,146,406,485,399,376,292,327,165,13,0,0
10/11/2017,גלובלית,0,26,215,381,554,572,615,627,523,365,162,14,0,0
11/11/2017,גלובלית,0,29,210,407,537,285,292,352,545,299,134,11,0,0
12/11/2017,גלובלית,0,35,201,389,520,503,533,473,354,208,90,12,0,0
13/11/2017,גלובלית,0,27,118,254,457,507,585,419,356,300,120,13,0,0
14/11/2017,גלובלית,0,28,142,291,464,579,615,589,437,219,74,12,0,0
15/11/2017,גלובלית,0,24,175,365,513,611,627,578,479,322,125,12,0,0
16/11/2017,גלובלית,0,21,174,376,527,617,632,588,483,328,121,10,0,0
17/11/2017,גלובלית,0,30,125,321,538,627,642,602,479,327,116,11,0,0
18/11/2017,גלובלית,0,26,142,303,502,517,569,346,197,133,102,16,0,0
19/11/2017,גלובלית,0,19,78,224,469,495,469,466,233,113,53,9,0,0
20/11/2017,גלובלית,0,16,127,153,374,350,400,142,400,314,66,11,0,0
21/11/2017,גלובלית,0,10,65,158,108,263,203,174,302,178,93,8,0,0
22/11/2017,גלובלית,0,5,88,126,125,85,200,227,132,103,57,5,0,0
23/11/2017,גלובלית,0,16,157,336,386,446,592,588,245,100,56,7,0,0
24/11/2017,גלובלית,0,11,155,364,508,403,189,139,135,146,94,8,0,0
25/11/2017,גלובלית,0,11,145,257,441,422,416,528,324,197,75,8,0,0
